Id,SalePrice
1461,113637.4944984455
1462,155923.81891531026
1463,162811.17290014616
1464,195861.0068735605
1465,184225.17376832955
1466,169755.6216218953
1467,186073.74779568572
1468,166590.3121833697
1469,190154.41139525478
1470,116481.50270500801
1471,190551.81587299958
1472,107170.49913905312
1473,98513.46410898492
1474,150478.1713139553
1475,119692.29429768652
1476,341047.9791082018
1477,235552.0357383875
1478,290730.1685448682
1479,277526.7665132534
1480,455925.43820287724
1481,300737.35393856326
1482,203049.98560110552
1483,172904.35936925767
1484,167614.80983815773
1485,200417.8711419421
1486,201229.4416177691
1487,303344.2216966997
1488,231246.5847965026
1489,182295.53782870562
1490,224435.44104158034
1491,199698.49330591108
1492,90909.27301706183
1493,203803.83567890243
1494,292313.92919141724
1495,269654.6815759761
1496,224295.77038618654
1497,170542.63937775072
1498,168075.77313896694
1499,165844.0305033764
1500,160832.82903630298
1501,167046.38696719048
1502,157189.9764900617
1503,288519.0267134083
1504,245231.83112473713
1505,223606.13007794917
1506,196398.90134927092
1507,235475.47372351025
1508,193490.11344405284
1509,154535.47689760246
1510,133941.18126135148
1511,145967.03879506528
1512,171387.2354063553
1513,151916.89370953979
1514,140882.86740127293
1515,183151.71814935532
1516,149536.91576932053
1517,161704.03784014864
1518,131759.71359220738
1519,201775.03156745835
1520,125110.56351144997
1521,118726.78975129347
1522,178163.0549848007
1523,102577.32521285604
1524,121597.27871956452
1525,107345.40239623678
1526,99360.81186171062
1527,100507.18076740521
1528,149702.45329729948
1529,138151.93185059525
1530,199639.15367932426
1531,119357.77980609573
1532,105808.9872402523
1533,162087.05697529248
1534,132583.93498934212
1535,147821.56426219436
1536,114903.92845325949
1537,57587.218128470515
1538,138062.86267448246
1539,195460.8248266683
1540,85600.0331012383
1541,135320.54825887005
1542,132013.56466785443
1543,168534.10645394196
1544,91828.40887102648
1545,109201.9887843649
1546,142377.91200256874
1547,134244.0848148357
1548,127804.62741382325
1549,116157.87251786173
1550,127588.17565952607
1551,125146.66171277507
1552,126689.71615010867
1553,133102.35000286865
1554,121117.39312764487
1555,151311.41769185077
1556,85879.0373561639
1557,86065.08352223961
1558,107421.56970137285
1559,72336.88337913768
1560,132693.90682222007
1561,115932.38203369116
1562,140960.98424596284
1563,117313.70732214974
1564,155442.93642532604
1565,136597.9995395121
1566,228373.18076632888
1567,78688.0588568907
1568,233184.4221057153
1569,123501.07164253439
1570,150553.62167908318
1571,116340.03687001196
1572,142228.6797609208
1573,224501.61568457494
1574,109460.71532252087
1575,214912.5847376344
1576,252150.35240709208
1577,178799.86795839935
1578,139336.26675515593
1579,127829.90580370782
1580,196260.1365389042
1581,159751.62019448268
1582,128311.72754281052
1583,291770.27001383185
1584,219494.1418930746
1585,145334.0363056658
1586,70719.05500775434
1587,101293.45961395971
1588,143887.9299045855
1589,91309.34449860272
1590,139930.20100351976
1591,89499.0396761983
1592,121693.85804510582
1593,136737.1508981289
1594,129739.43907014444
1595,99951.28405493298
1596,200323.49690143229
1597,159194.28182998372
1598,198444.53592802794
1599,177037.18989959132
1600,174789.96348206387
1601,66682.42316688837
1602,118024.57037483278
1603,77272.44274376094
1604,250588.45591342312
1605,246980.05980647833
1606,168059.20392511127
1607,181580.63156612072
1608,228267.41154442783
1609,183983.8436353908
1610,150065.1308744782
1611,131980.00114105496
1612,169458.36418974242
1613,167652.99856989348
1614,139155.46480934822
1615,99105.2803783254
1616,82215.67336829877
1617,96310.94582599128
1618,122360.81772849998
1619,148243.94488982286
1620,148897.7507311626
1621,128038.20455812081
1622,154837.30557006042
1623,266710.05508489057
1624,203588.47338098122
1625,114906.01052782562
1626,173306.96603139985
1627,184345.5619495334
1628,282979.4605004082
1629,171364.70141789305
1630,305177.9260308745
1631,216271.01456499554
1632,214955.88638516283
1633,178857.61887138762
1634,183570.02290199228
1635,186438.28583655576
1636,160479.82235916855
1637,187955.18787018757
1638,191938.0599721711
1639,179323.54748633315
1640,261428.5468532075
1641,176616.31658491076
1642,241122.34893763388
1643,228024.89360010088
1644,235465.34031664213
1645,244324.685520452
1646,166423.93523777643
1647,163495.7173951855
1648,132489.89487725348
1649,149177.23975742416
1650,108213.32135031965
1651,119955.55280884619
1652,110815.21215741479
1653,112727.72456604127
1654,143666.69056876923
1655,149654.00913240336
1656,141197.74926550296
1657,145995.02187689024
1658,145540.82196689676
1659,123550.66729544639
1660,147137.20624057678
1661,440886.99794291746
1662,351999.3531502882
1663,346808.0741221993
1664,475945.2253675587
1665,290321.6663920713
1666,302230.2177660918
1667,350893.3889611221
1668,331563.70229215483
1669,300106.2183779001
1670,327694.957728019
1671,251045.47471071247
1672,401838.43745265773
1673,290954.6994783812
1674,240229.7174934119
1675,184363.80278475184
1676,187454.60825592175
1677,199946.08659075614
1678,405600.3224861757
1679,347875.94726514636
1680,292869.1448609099
1681,230469.68031349208
1682,284905.104352765
1683,177290.22472938802
1684,193860.69924920713
1685,186921.82299583053
1686,177110.9658333566
1687,184232.86044363704
1688,199183.85215502343
1689,204758.78696143086
1690,215632.57426587632
1691,204072.01485242293
1692,276349.20263642864
1693,181860.1909816974
1694,184496.223794927
1695,168346.90257161364
1696,276966.06552333664
1697,176361.19506695608
1698,326886.0745070662
1699,352617.7819826213
1700,236794.9560663179
1701,262580.56126212893
1702,243689.51960032267
1703,254792.83348443537
1704,274734.76328378276
1705,249966.83276996575
1706,362696.9088029946
1707,207539.87687293912
1708,200717.96145476282
1709,276468.02247489616
1710,220717.5481285412
1711,278278.3897309532
1712,259659.1945829759
1713,265534.22567093215
1714,219052.27954788713
1715,207405.9981191939
1716,181002.25857504277
1717,187022.6358954552
1718,134908.3056609326
1719,203856.22335719442
1720,263038.62924437603
1721,173994.35893077403
1722,127944.24664640723
1723,160786.66735143322
1724,205938.38114406777
1725,233176.1106911581
1726,188459.23850530956
1727,146188.80559080004
